1	1	1
1	2	2
1	2	3
1	4	4
1	5	5
1	5	6
1	6	7
1	7	8
1	8	9
1	17	10
1	18	11
1	19	12
1	20	13
1	20	14
1	21	15
1	22	16
1	23	17
1	24	18
1	34	19
1	35	20
1	36	21
1	37	22
1	37	23
1	38	24
1	39	25
1	40	26
1	50	27
1	50	28
1	51	29
1	52	30
1	53	31
1	54	32
1	55	33
1	56	34
1	56	35
1	57	36
1	58	37
1	59	38
1	73	39
1	74	40
1	75	41
1	76	42
1	77	43
1	79	44
1	79	45
1	89	46
1	89	47
1	90	48
1	91	49
1	92	50
1	93	51
1	94	52
1	96	53
1	97	54
1	104	55
1	105	56
1	106	57
1	107	58
1	108	59
1	109	60
1	110	61
1	111	62
1	112	63
1	121	64
1	122	65
1	123	66
1	123	67
1	124	68
1	125	69
1	127	70
1	128	71
1	137	72
1	138	73
1	138	74
1	139	75
1	140	76
1	141	77
1	143	78
1	144	79
1	154	80
1	154	81
1	155	82
1	156	83
1	157	84
1	158	85
1	159	86
1	170	87
1	171	88
1	172	89
1	172	90
1	173	91
1	174	92
1	175	93
1	185	94
1	186	95
1	187	96
1	187	97
1	188	98
1	189	99
1	190	100
0	10	1
0	11	2
0	12	3
0	13	4
0	14	5
0	15	6
0	16	7
0	25	8
0	26	9
0	28	10
0	29	11
0	30	12
0	31	13
0	32	14
0	32	15
0	33	16
0	41	17
0	42	18
0	43	19
0	44	20
0	45	21
0	46	22
0	47	23
0	48	24
0	61	25
0	62	26
0	62	27
0	63	28
0	64	29
0	65	30
0	66	31
0	67	32
0	68	33
0	69	34
0	70	35
0	71	36
0	72	37
0	72	38
0	81	39
0	82	40
0	83	41
0	84	42
0	85	43
0	86	44
0	87	45
0	87	46
0	98	47
0	99	48
0	100	49
0	101	50
0	102	51
0	103	52
0	103	53
0	104	54
0	114	55
0	115	56
0	115	57
0	116	58
0	117	59
0	118	60
0	119	61
0	129	62
0	129	63
0	131	64
0	132	65
0	133	66
0	133	67
0	134	68
0	135	69
0	136	70
0	145	71
0	146	72
0	147	73
0	148	74
0	149	75
0	150	76
0	151	77
0	152	78
0	160	79
0	162	80
0	163	81
0	164	82
0	165	83
0	166	84
0	167	85
0	168	86
0	168	87
0	169	88
0	177	89
0	178	90
0	179	91
0	180	92
0	181	93
0	182	94
0	183	95
0	184	96
0	191	97
0	192	98
0	193	99
0	195	100
